,ex_name,muscle_group,ex_mech_type,ex_type,ex_equipment,level,reps,sets,main-muscle-worked,movement_size,load_size
0,plate row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
1,yates row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
2,single-arm landmine row,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Largest,Heaviest
3,rockers (pullover to press) straight bar,upperbody,Compound,Vertical Pull,barbell,intermediate,0,0,Lats,Largest,Heaviest
4,lying cambered barbell row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
5,straight bar bench mid rows,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
6,barbell guillotine bench press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Largest,Heaviest
7,barbell bench press-wide grip,upperbody,Compound,Horizontal Push,barbell,beginner,0,0,Chest,Largest,Heaviest
8,incline bench pull,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
9,bent-arm barbell pullover,upperbody,Compound,Vertical Pull,barbell,intermediate,0,0,Lats,Largest,Heaviest
10,reverse band bench press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Largest,Heaviest
11,pendlay rown,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Largest,Heaviest
12,yates row reverse grip,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
13,one leg barbell squat,upperbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Largest,Heaviest
14,bent over barbell row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
15,neck press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Largest,Heaviest
16,barbell incline bench press medium-grip,upperbody,Compound,Horizontal Push,barbell,beginner,0,0,Chest,Largest,Heaviest
17,decline barbell bench press,upperbody,Compound,Horizontal Push,barbell,beginner,0,0,Chest,Largest,Heaviest
18,wide-grip barbell bench press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Largest,Heaviest
19,t-bar row,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Largest,Heaviest
20,wide-grip decline barbell bench press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Largest,Heaviest
21,bent over one-arm long bar row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
22,bent over two-arm long bar row,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Largest,Heaviest
23,one-arm long bar row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
24,barbell bench press - medium grip,upperbody,Compound,Horizontal Push,barbell,beginner,0,0,Chest,Largest,Heaviest
25,reverse grip bent-over rows,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Largest,Heaviest
26,t-bar row with handle,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Largest,Heaviest
27,barbell RDL,upperbody,Compound,Hinge,barbell,beginner,6,3,Middle Back,Largest,Heaviest
28,barbell bench press,upperbody,Compound,Horizontal Push,barbell,beginner,3,6,Chest,Largest,Heaviest
29,barbell bentover row,upperbody,Compound,Horizontal Pull,barbell,beginner,6,4,Middle Back,Largest,Heaviest
30,barbell incline press,upperbody,Compound,Horizontal Push,barbell,beginner,3,5,Chest,Largest,Heaviest
31,barbell overhead press,upperbody,Compound,Vertical Push,barbell,beginner,6,3,Middle Back,Largest,Heaviest
32,plate row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
33,yates row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
34,single-arm landmine row,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Large,Heavy
35,rockers (pullover to press) straight bar,upperbody,Compound,Vertical Pull,barbell,intermediate,0,0,Lats,Large,Heavy
36,lying cambered barbell row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
37,straight bar bench mid rows,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
38,barbell guillotine bench press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Large,Heavy
39,barbell bench press-wide grip,upperbody,Compound,Horizontal Push,barbell,beginner,0,0,Chest,Large,Heavy
40,incline bench pull,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
41,bent-arm barbell pullover,upperbody,Compound,Vertical Pull,barbell,intermediate,0,0,Lats,Large,Heavy
42,reverse band bench press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Large,Heavy
43,pendlay rown,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Large,Heavy
44,yates row reverse grip,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
45,one leg barbell squat,upperbody,Compound,Squat,barbell,expert,0,0,Quadriceps,Large,Heavy
46,bent over barbell row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
47,neck press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Large,Heavy
48,barbell incline bench press medium-grip,upperbody,Compound,Horizontal Push,barbell,beginner,0,0,Chest,Large,Heavy
49,decline barbell bench press,upperbody,Compound,Horizontal Push,barbell,beginner,0,0,Chest,Large,Heavy
50,wide-grip barbell bench press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Large,Heavy
51,t-bar row,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Large,Heavy
52,wide-grip decline barbell bench press,upperbody,Compound,Horizontal Push,barbell,intermediate,0,0,Chest,Large,Heavy
53,bent over one-arm long bar row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
54,bent over two-arm long bar row,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Large,Heavy
55,one-arm long bar row,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
56,barbell bench press - medium grip,upperbody,Compound,Horizontal Push,barbell,beginner,0,0,Chest,Large,Heavy
57,reverse grip bent-over rows,upperbody,Compound,Horizontal Pull,barbell,intermediate,0,0,Middle Back,Large,Heavy
58,t-bar row with handle,upperbody,Compound,Horizontal Pull,barbell,beginner,0,0,Middle Back,Large,Heavy
59,barbell RDL,upperbody,Compound,Hinge,barbell,beginner,6,3,Middle Back,Large,Heavy
60,barbell bench press,upperbody,Compound,Horizontal Push,barbell,beginner,3,6,Chest,Large,Heavy
61,barbell bentover row,upperbody,Compound,Horizontal Pull,barbell,beginner,6,4,Middle Back,Large,Heavy
62,barbell incline press,upperbody,Compound,Horizontal Push,barbell,beginner,3,5,Chest,Large,Heavy
63,barbell overhead press,upperbody,Compound,Vertical Push,barbell,beginner,6,3,Middle Back,Large,Heavy
64,half-kneeling dumbbell shoulder press,upperbody,Compound,Vertical Push,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
65,one-arm kettlebell split snatch,upperbody,Compound,Vertical Pull,kettlebells,expert,0,0,Shoulders,Medium,Moderate
66,kettlebell seesaw press,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
67,double kettlebell snatch,upperbody,Compound,Vertical Pull,kettlebells,expert,0,0,Shoulders,Medium,Moderate
68,bar throw and press,upperbody,Compound,Horizontal Push,machine,intermediate,0,0,Chest,Medium,Moderate
69,dumbbell squat to shoulder press,upperbody,Compound,Vertical Push,dumbbell,intermediate,0,0,Shoulders,Medium,Moderate
70,one-arm kettlebell split jerk,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
71,one-arm kettlebell jerk,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
72,two-arm kettlebell jerk,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
73,one-arm kettlebell floor press,upperbody,Compound,Horizontal Push,kettlebells,intermediate,0,0,Chest,Medium,Moderate
74,one-arm kettlebell para press,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
75,one-arm kettlebell military press to the side,upperbody,Compound,Vertical Push,kettlebells,intermediate,0,0,Shoulders,Medium,Moderate
76,extended range one-arm kettlebell floor press,upperbody,Compound,Horizontal Push,kettlebells,beginner,0,0,Chest,Medium,Moderate
77,alternating floor press,upperbody,Compound,Horizontal Push,kettlebells,beginner,0,0,Chest,Medium,Moderate
